iso3,country_display,year,wealth_pc,human_capital_pc,natural_capital_pc,produced_capital_pc,net_foreign_assets_pc,region,income_group,gini_index,population_total,gdp_per_capita_current_usd,education_expenditure_pct_gdp,lower_secondary_completion_rate,tertiary_enrolment_rate,school_life_expectancy,log_wealth_pc,human_capital_share,natural_capital_share,produced_capital_share
ARM,Armenia,1999,5478.94557505676,3092.85224128239,1245.9459699506667,1506.64424626086,-366.496882437158,Europe & Central Asia,Upper middle income,36.2,3167286,582.669886150895,2.23518991470337,,35.21241,11.37173,8.608667948117436,0.5644977119982341,0.2274061592476685,0.2749879927845882
ARM,Armenia,2001,6082.75875703495,3482.82670699137,1274.066202667479,1781.32049931715,-455.454651941045,Europe & Central Asia,Upper middle income,35.4,3211800,659.588988535629,2.46943998336792,,33.5453,10.92091,8.713213614983397,0.5725735387686293,0.2094553234079802,0.2928474678133475
ARM,Armenia,2002,6579.7967601028,3677.44037023725,1437.74641033237,1951.88275599285,-487.272776459668,Europe & Central Asia,Upper middle income,34.8,3199800,742.651118319819,2.13504004478455,86.45846,36.14686,,8.791759136319962,0.5588987782321403,0.2185092431806217,0.2966478794342508
ARM,Armenia,2004,11863.6455562878,6668.36090239048,3129.71289466591,2649.4428900658,-583.87113083443,Europe & Central Asia,Upper middle income,37.5,3164900,1130.08791444158,2.48673009872436,89.29159,37.88314,11.02765,9.381234007805723,0.5620836252020536,0.2638070127615322,0.2233245150063995
ARM,Armenia,2005,16996.5688982506,8646.49558113724,5103.29053676201,3888.34568666083,-641.5629063095009,Europe & Central Asia,Upper middle income,36.0,3146400,1557.48458908655,2.71202993392944,96.79207,39.54677,11.38528,9.740766773153364,0.5087200618489062,0.3002541611376208,0.2287723898828218
ARM,Armenia,2006,20877.3304860815,11182.124405952,5231.032584744969,5161.68209116193,-697.5085957774149,Europe & Central Asia,Upper middle income,29.7,3127100,2041.65267068997,2.71577000617981,100.2897,43.11535,11.92465,9.946419183539575,0.5356108346039211,0.2505604147154922,0.2472386062290444
ARM,Armenia,2007,29751.1794823422,15874.1102265024,7146.58821845221,7641.48036404018,-910.9993266526692,Europe & Central Asia,Upper middle income,31.2,3107400,2962.70234594569,3.01893997192383,95.30094,45.93094,12.61629,10.30062405665316,0.5335623831627898,0.2402119291671721,0.2568462997769725
ARM,Armenia,2008,33501.8062111118,19182.167925419,4932.20529372618,10868.9537025871,-1481.520710620464,Europe & Central Asia,Upper middle income,29.2,3087100,3777.66859313767,3.17272996902466,90.42601,48.48933,12.41085,10.419354633109307,0.5725711564487739,0.1472220710324053,0.3244288870306375
ARM,Armenia,2009,26758.4295557027,13540.4833185652,3929.279855351686,11042.5398141285,-1753.87343234279,Europe & Central Asia,Upper middle income,28.0,3066000,2820.5926553347,3.84079003334045,106.27339,51.33459,12.9568,10.194604826260818,0.5060268312973353,0.1468426929604426,0.4126751830163044
ARM,Armenia,2010,31078.2392227092,14950.3505044273,6233.31866132777,12223.5984326113,-2329.02837565714,Europe & Central Asia,Upper middle income,30.0,3044800,3041.34450723339,3.24900007247925,96.92009,52.98915,13.08649,10.344263149810754,0.4810552617634438,0.2005685913110874,0.3933169554753728
ARM,Armenia,2011,34875.7515323184,17389.1042704559,7658.09852419019,12511.3976241091,-2682.84888643676,Europe & Central Asia,Upper middle income,29.4,3027900,3349.55309771906,3.14385008811951,,53.33778,13.12233,10.459547068205271,0.4986015643087116,0.2195823226086939,0.3587420220182247
ARM,Armenia,2012,32435.8940919501,17906.0286566157,6200.3536971800095,11055.9537998881,-2726.4420617337,Europe & Central Asia,Upper middle income,29.6,3024100,3511.56399687426,2.77248001098633,,46.15803,,10.387020930920077,0.5520436281440319,0.191157169264491,0.340855527784941
ARM,Armenia,2013,33105.6371402497,18759.7747103729,6554.36741283793,10838.3157595463,-3046.82074250746,Europe & Central Asia,Upper middle income,30.6,3022000,3680.16692158886,2.65018010139465,,45.73739,13.11046,10.407458853216628,0.5666640587794289,0.1979834245470284,0.3273858078498999
ARM,Armenia,2014,30880.5975540273,19313.5389646876,6110.812541431941,8125.168824584,-2668.92277667625,Europe & Central Asia,Upper middle income,31.5,3013800,3852.11800610384,2.24724006652832,,47.08219,13.10354,10.33788335479434,0.6254263354489014,0.1978851779257425,0.2631156605816507
ARM,Armenia,2015,30934.5114585825,18536.5624032013,5936.51563776601,9198.18520103736,-2736.75178342212,Europe & Central Asia,Upper middle income,32.4,3004600,3512.39350276709,2.80591011047363,,46.5218,12.96795,10.339627715326486,0.5992194972278607,0.191905912130349,0.2973438004137417
ARM,Armenia,2016,27790.8501272595,17792.4293077646,4526.68357658861,8371.06675768995,-2899.3295147836498,Europe & Central Asia,Upper middle income,32.5,2992300,3524.42476874707,2.75812005996704,87.51688,51.08019,,10.232462113389898,0.6402261617147277,0.1628839548218237,0.3012166493416816
ARM,Armenia,2017,28138.8181721426,18859.5765826727,4233.092380828594,8114.60512417624,-3068.4559155348907,Europe & Central Asia,Upper middle income,33.6,2979400,3869.05373867752,2.70759010314941,89.03903,52.25153,,10.244905331639403,0.6702334286854897,0.1504360401681457,0.2883776096968312
ARM,Armenia,2018,29976.7653545284,20339.4103329701,4785.482886566369,8165.04370178932,-3313.17156679735,Europe & Central Asia,Upper middle income,34.4,2969000,4196.00562301769,2.11331180512289,93.2922,54.57048,13.06861,10.308177872390988,0.6785058391864669,0.1596397353073138,0.2723790777698394
AUT,Austria,1995,352382.687506149,211425.761452552,7580.157949258398,138032.870973413,-4656.1028690743005,Europe & Central Asia,High income,29.9,7948278,30207.0674314652,5.44969987869263,,44.97695,14.87023,12.772473044442789,0.5999890713951793,0.02151115312419,0.3917129753175072
AUT,Austria,1996,342812.411643295,201562.21918519,7420.4820735586945,137792.260031066,-3962.5496465204014,Europe & Central Asia,High income,29.3,7959017,29645.9451251491,5.28883981704712,,47.49055,14.92243,12.744938671711036,0.5879665156199788,0.0216458967689883,0.401946532129771
AUT,Austria,1998,313606.480830417,176298.535909862,6582.225679673324,136484.17668535,-5758.457444468,Europe & Central Asia,High income,31.3,7976789,27212.4642905708,6.13724994659424,,52.39628,15.13569,12.655894233158172,0.5621648361444277,0.020988806297127,0.4352084061654132
AUT,Austria,2007,423051.833734397,172299.359364336,12174.51468593154,244384.85203415,-5806.892350020993,Europe & Central Asia,High income,30.6,8295487,46622.9622913635,5.17918014526367,101.39655,63.04729,15.69384,12.955249988900391,0.4072771836098695,0.0287778322066676,0.5776711800936932
AUT,Austria,2008,452042.695089953,185606.248637123,14008.83034946812,258273.800491361,-5846.184387999994,Europe & Central Asia,High income,30.4,8321496,51581.3982361071,5.29851007461548,100.7073,65.8869,15.77006,13.021531912517087,0.410594509441611,0.0309900602346432,0.5713482449704591
AUT,Austria,2009,418783.335531139,177052.409122843,13131.973858035297,232292.924364609,-3693.971814347984,Europe & Central Asia,High income,31.5,8343323,47857.4446635266,5.76567983627319,100.02937,68.11265,15.758,12.945108966191466,0.4227780670839948,0.0313574412921186,0.5546852146587783
AUT,Austria,2010,395763.90827991,169232.085859852,12934.87895215895,217557.651332782,-3960.70786488401,Europe & Central Asia,High income,30.3,8363404,46611.1393420232,5.73625993728638,101.87132,75.62378,15.99389,12.88857312123162,0.4276086887138785,0.0326833212466927,0.5497157441120454
AUT,Austria,2011,422520.052819058,185003.561612157,13525.29370857334,226595.574257445,-2604.3767591159994,Europe & Central Asia,High income,30.8,8391643,51116.8953522042,5.62787008285522,101.71398,78.49945,16.0272,12.953992186946696,0.4378574706166285,0.0320110101717834,0.5362954320051725
AUT,Austria,2012,389227.012160688,183809.538343054,14047.24271416821,194736.426868088,-3366.1957646219817,Europe & Central Asia,High income,30.5,8429991,48250.4059142637,5.51611995697021,99.30486,78.93891,16.08506,12.871918031203933,0.4722425027047462,0.0360901023703076,0.5003158074437374
AUT,Austria,2013,415152.776731635,199281.683082107,14168.340986484149,202297.104691381,-594.3520283380058,Europe & Central Asia,High income,30.8,8479823,50305.3545774973,5.59405994415283,97.33421,79.6554,15.84849,12.93640186816988,0.4800201136819749,0.0341280169147053,0.4872835159239483
AUT,Austria,2014,512643.083718276,298540.651758908,13434.17393910902,200328.698095538,339.5599247210048,Europe & Central Asia,High income,30.5,8546356,51314.9722616322,5.4976601600647,96.90894,79.1587,15.85573,13.147335138772032,0.5823557583056589,0.0262057060082991,0.3907761646612383
AUT,Austria,2015,411539.685531659,238733.429142281,8526.567136746195,164424.898521171,-145.20926853999845,Europe & Central Asia,High income,30.5,8642699,43915.228020857,5.49144983291626,96.22541,80.71942,15.95141,12.927660735595309,0.5800981959585905,0.0207186996455297,0.399535948298046
AUT,Austria,2016,427791.686219822,256731.829082302,8683.47233247684,161802.939642654,573.4451623890054,Europe & Central Asia,High income,30.8,8736668,45061.4993920192,5.50954008102417,97.17982,83.45495,16.08119,12.966391641640346,0.6001328154619153,0.0202983662660868,0.3782283406964368
AUT,Austria,2017,448568.949439843,266732.353278775,8735.433420530215,172277.980510362,823.1822301759967,Europe & Central Asia,High income,29.7,8797566,47163.7425775142,5.40181016921997,97.67306,85.05714,16.09207,13.013817682087383,0.594629551626034,0.0194740037879097,0.3840613148223848
AUT,Austria,2018,487855.034692735,289922.732765964,9459.683091902923,186782.107608211,1690.5112266570068,Europe & Central Asia,High income,30.8,8840521,51194.0749841299,5.25437021255493,97.46355,86.68835,16.06675,13.097773580648337,0.5942804975838071,0.019390356600216,0.3828639540962238
