year,region,median_log_wealth_pc,median_school_life_expectancy,median_tertiary_enrolment_rate,median_human_capital_share,median_natural_capital_share,median_produced_capital_share,n_countries
1995,East Asia & Pacific,9.498668544945293,10.06046,11.154119999999999,0.49791565490826967,0.36664881991348214,0.11991074370532429,14
1995,Europe & Central Asia,11.32215767090619,12.657055,35.53193,0.5176676965626077,0.0720448004098394,0.3802125695640415,42
1995,Latin America & Caribbean,9.829236020351125,10.45281,16.057565,0.5799806072146101,0.22820325664573288,0.2229174942385429,12
1995,Middle East & North Africa,11.157824953820915,11.54496,16.78047,0.5882740655998097,0.1230533801343397,0.1693900253515921,11
1995,North America,12.573683728724765,16.48249,84.85419,0.6985159194426882,0.0443617925920111,0.27738355985717356,2
1995,South Asia,8.13785526530253,8.074785,4.93224,0.43965813396309905,0.49925447868972384,0.0843840564051395,2
1995,Sub-Saharan Africa,8.647399291662008,5.58109,1.919225,0.412493105418496,0.575542966702771,0.0986021621823628,20
1996,East Asia & Pacific,9.336484934154392,10.21538,11.54266,0.4971327465883299,0.3787587756655306,0.1318556026459494,13
1996,Europe & Central Asia,11.11775420658574,12.96412,38.184135,0.5283145472440014,0.0728717868562868,0.3932531128476888,40
1996,Latin America & Caribbean,10.312537945423518,11.198035,20.46112,0.5670078361191238,0.1474417017096452,0.2269504014562704,11
1996,Middle East & North Africa,11.235091931572065,12.44118,17.60574,0.561821272713376,0.141784401680447,0.2145734758342221,11
1996,North America,12.606471334273518,16.460810000000002,84.00514,0.6940879268609877,0.047001076425052454,0.2780527312822868,2
1996,South Asia,8.1645145075033,8.279155,5.5154,0.44468865669736085,0.4963640654513115,0.0818598099934134,2
1996,Sub-Saharan Africa,8.64099795980417,5.72816,1.22733,0.438790710141158,0.5318874938131903,0.0873689136647677,19
1997,East Asia & Pacific,9.106084117083022,10.1263,13.38336,0.5116883725523776,0.3616224571924007,0.1459808621411905,9
1997,Europe & Central Asia,10.81923477601985,12.96228,39.438,0.5213132847519157,0.0706401386886594,0.374683859623943,35
1997,Latin America & Caribbean,9.905610786311968,11.513915,18.53632,0.5890435612930116,0.1874353215649671,0.2064045962374893,9
1997,Middle East & North Africa,10.987796749238534,10.7996,17.3228,0.573020908167532,0.1001530336356774,0.1756312926734394,9
1997,South Asia,8.398866820961024,8.20985,6.54575,0.5151912750863914,0.3825313725441617,0.1217888367044792,1
1997,Sub-Saharan Africa,8.657584832076935,5.47901,1.7222,0.4015603108259064,0.5114290825604217,0.08710336241777095,14
1998,East Asia & Pacific,9.151347283243634,10.57161,13.3583,0.5482323920332589,0.3642319193737817,0.1398571842421873,11
1998,Europe & Central Asia,11.57617281290596,13.98881,42.78302,0.5621648361444277,0.0609684398117715,0.3848528387495694,35
1998,Latin America & Caribbean,10.592744313922317,12.12114,27.840049999999998,0.6373469099756064,0.1200478085610127,0.2209875420278444,8
1998,Middle East & North Africa,11.04608165625428,12.33231,17.50532,0.6485408172758561,0.1336356072863317,0.1782943535541726,7
1998,North America,12.65081961843052,16.013255,65.65868,0.6940316459717388,0.03661236514608435,0.2838185981195771,2
1998,South Asia,9.788373119549274,10.60084,0.0,0.6646989013140281,0.1213462707646101,0.2434600549318727,1
1998,Sub-Saharan Africa,8.669622095562227,5.32751,1.371345,0.3830686377905919,0.5662030812497297,0.097353331506551,14
1999,East Asia & Pacific,9.157878779708652,10.68282,14.74726,0.537579756581106,0.357473553619258,0.1309812292360495,11
1999,Europe & Central Asia,10.81494422266964,13.80897,44.91659,0.552354566787667,0.0856999788785247,0.4026309626272974,39
1999,Latin America & Caribbean,10.561755375640557,11.902595000000002,22.06705,0.6431735566662103,0.1168546297172759,0.2250980709043294,13
1999,Middle East & North Africa,10.950372752243634,12.7444,21.309655,0.5515424045377958,0.1451372363360408,0.1726943893591898,12
1999,North America,12.700044307322138,15.674669999999999,66.48105,0.6872167606134428,0.0372939338673753,0.2850671617532731,2
1999,South Asia,9.019849206449798,11.36035,2.81672,0.6671575722129854,0.1852746038328767,0.1777274155877511,2
1999,Sub-Saharan Africa,8.72185217733365,7.544545,1.994,0.4388311578738604,0.4445901794370521,0.1236209240788451,34
2000,East Asia & Pacific,9.037751647812671,9.39763,12.170735,0.4886032008295859,0.42210636412090763,0.12160092633694991,10
2000,Europe & Central Asia,10.791672395030416,14.31878,48.77624,0.5364464679450314,0.088551862881958,0.3918557816021608,39
2000,Latin America & Caribbean,10.632115700993516,12.159604999999999,22.948585,0.6178618919704569,0.12163910702450176,0.22281936634008953,12
2000,Middle East & North Africa,10.15893384543218,11.73431,19.20267,0.6296290546445977,0.0906546302044193,0.18080488522204,9
2000,North America,12.765514172615713,15.50366,63.458445,0.6760382289514537,0.04399527600782835,0.28886584849472335,2
2000,South Asia,8.2576508383709,8.95923,4.90975,0.5943309760416344,0.3228360867215292,0.10856909999516176,4
2000,Sub-Saharan Africa,8.531833010417845,8.09694,1.97479,0.427027060240638,0.4811012087730426,0.1017728030195703,28
2001,East Asia & Pacific,8.837282420584232,10.63713,14.18361,0.5201410349897293,0.3506060676037335,0.1275485535428712,11
2001,Europe & Central Asia,10.83560937895499,14.57145,50.542295,0.5506036669637447,0.0869914271601553,0.3969317167993812,41
2001,Latin America & Caribbean,10.595835198577674,12.10714,20.921905000000002,0.6283119027630886,0.1119326618040824,0.24944969173486645,12
2001,Middle East & North Africa,10.492024014405246,12.55678,21.476045,0.5993743905129345,0.17163267043735606,0.1592912240782671,10
2001,North America,13.0171603436443,15.34962,68.09729,0.6940356652946484,0.0162143434143246,0.308203629529437,1
2001,South Asia,8.189217968184241,8.56468,5.5740300000000005,0.5870243229973406,0.32403255261556396,0.11861578229010945,4
2001,Sub-Saharan Africa,8.633566415511718,7.57123,2.13051,0.4855807115515255,0.4538317034691526,0.0936221222510396,28
2002,East Asia & Pacific,8.88344317867013,10.75983,14.80345,0.5109542759113832,0.3937884659598453,0.1235234704589182,11
2002,Europe & Central Asia,10.98341789277372,15.026395,53.22274,0.5515024376376466,0.0754281847923162,0.3992288185271783,41
2002,Latin America & Caribbean,10.235358034512812,12.472455,21.707745000000003,0.6300267149656771,0.1672956675324666,0.2274349032214786,16
2002,Middle East & North Africa,9.993614588064085,12.33488,21.89667,0.5877828349587761,0.19079018496361067,0.1726867507125898,12
2002,North America,12.780221125606836,15.40862,68.72709,0.6585123563982638,0.0369376088925497,0.3201382839169489,2
2002,South Asia,8.18501155275592,9.1619,5.76408,0.5852000591794235,0.32317116032858045,0.12327212370270625,4
2002,Sub-Saharan Africa,8.625459799524222,8.10317,2.1257650000000003,0.4906693613490962,0.4856975954442536,0.0990661076088563,27
2004,East Asia & Pacific,9.377675316950748,11.70815,23.025875,0.4872246226048436,0.36861596160709187,0.12592778181663755,10
2004,Europe & Central Asia,11.33429506049236,15.117605,59.13668,0.5536844036193421,0.0753219592023964,0.4089461654174195,39
2004,Latin America & Caribbean,10.600461991072295,12.59951,24.49124,0.6053108924915711,0.1578027713220424,0.2059327630226665,17
2004,Middle East & North Africa,10.349063042202939,12.200804999999999,20.770915000000002,0.5555453921991622,0.3233247116548422,0.14392361031920795,14
2004,North America,13.11476957069975,15.61078,81.15557,0.6659080963057334,0.0234872375247866,0.3276490668091601,1
2004,South Asia,8.211384139320739,,6.14098,0.5348728152302811,0.3662210107981793,0.1117683887094029,3
2004,Sub-Saharan Africa,8.768149926545483,8.569135,2.59943,0.43007140293545343,0.4818802428014576,0.113596070489473,27
2005,East Asia & Pacific,9.414358305711398,12.093325,19.087,0.4832038121451885,0.4250937660656118,0.1265312569565187,11
2005,Europe & Central Asia,11.446051830229557,15.18492,58.91771,0.5562113768796972,0.074856267713592,0.3812638396977597,39
2005,Latin America & Caribbean,10.708609142196515,12.69103,25.82298,0.5609760140753441,0.14799418661994465,0.21840306113726154,14
2005,Middle East & North Africa,10.61026380410209,12.71886,23.88013,0.5846192685549678,0.3114482188628725,0.15142123168051058,14
2005,North America,13.17273720813676,15.76187,80.63483,0.6513059608157468,0.0227307546273661,0.3387813356971644,1
2005,South Asia,8.264999943592317,9.087420000000002,7.73622,0.5595689726732141,0.3552936269246409,0.1026507805872015,3
2005,Sub-Saharan Africa,8.989413744683285,8.69394,2.93819,0.4364455040213738,0.5066595580258685,0.095249751426052,28
2006,East Asia & Pacific,9.697054817449882,11.381564999999998,20.21919,0.5007061515459049,0.4106027130435559,0.1196838347297132,11
2006,Europe & Central Asia,11.568161738316746,15.16401,58.44118,0.5792580125702682,0.0764885382321405,0.36004842489309175,42
2006,Latin America & Caribbean,10.643311832314307,12.903515,28.744955,0.5741096803628538,0.1322874010189369,0.29481567555543853,12
2006,Middle East & North Africa,10.882740680675775,12.28494,26.53152,0.6032160186840184,0.3114540622969912,0.1452624516789571,13
2006,North America,13.228509843748204,15.75199,83.0777,0.6455558220010023,0.0190113667972592,0.3473246450169152,1
2006,South Asia,8.33249821397404,9.38128,8.21843,0.5496040791097699,0.3751623275374339,0.0955274841297866,3
2006,Sub-Saharan Africa,9.010299362913644,8.995335,3.74934,0.4080268061273021,0.5125068681187364,0.0926099220448055,26
2007,East Asia & Pacific,9.853550150653525,11.699835,19.501995,0.48758233792878347,0.45342059787532907,0.11050074446019635,10
